title,price,link
"Hyundai Sonata 2.0 AT, 2018, битый, 288 888 км, с пробегом, цена 655 000 руб. - Автомобили в Москве",655 000 ₽,https://www.avito.ru/moskva/avtomobili/hyundai_sonata_2.0_at_2018_bityy_288_888_km_3919341673
"Nissan Maxima 3.0 AT, 2001, 217 357 км, с пробегом, цена 449 000 руб. - Автомобили в Москве",449 000 ₽,https://www.avito.ru/moskva/avtomobili/nissan_maxima_3.0_at_2001_217_357_km_4082986798
"Mercedes-Benz C-класс 1.8 AT, 2012, 176 000 км, с пробегом, цена 1 195 000 руб. - Автомобили в Москве",1 195 000 ₽,https://www.avito.ru/moskva/avtomobili/mercedes-benz_c-klass_1.8_at_2012_176_000_km_4056494370
"Volkswagen Caravelle 1.9 MT, 2007, 189 325 км, с пробегом, цена 1 590 000 руб. - Автомобили в Москве",1 590 000 ₽,https://www.avito.ru/moskva/avtomobili/volkswagen_caravelle_1.9_mt_2007_189_325_km_3797311504
"Nissan Qashqai 2.0 CVT, 2012, 147 476 км, с пробегом, цена 989 000 руб. - Автомобили в Москве",989 000 ₽,https://www.avito.ru/moskva/avtomobili/nissan_qashqai_2.0_cvt_2012_147_476_km_4083339259
"Volvo XC70 2.0 AT, 2011, 204 200 км, с пробегом, цена 1 725 000 руб. - Автомобили в Москве",1 725 000 ₽,https://www.avito.ru/moskva/avtomobili/volvo_xc70_2.0_at_2011_204_200_km_4083488616
"Audi A3 1.4 AMT, 2018, 123 300 км, с пробегом, цена 1 750 000 руб. - Автомобили в Москве",1 750 000 ₽,https://www.avito.ru/moskva/avtomobili/audi_a3_1.4_amt_2018_123_300_km_3872160355
"Land Rover Range Rover 4.4 AT, 2014, 119 354 км, с про�бегом, цена 3 999 000 руб. - Автомобили в Москве",3 999 000 ₽,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_4.4_at_2014_119_354_km_3951002692
"Nissan X-Trail 2.5 CVT, 2019, 150 000 км, с пробегом, цена 2 459 000 руб. - Автомобили в Москве",2 459 000 ₽,https://www.avito.ru/moskva/avtomobili/nissan_x-trail_2.5_cvt_2019_150_000_km_3792099296
"Dodge Caravan 2.4 AT, 2002, 340 000 км, с пробегом, цена 350 000 руб. - Автомобили в Москве",350 000 ₽,https://www.avito.ru/moskva/avtomobili/dodge_caravan_2.4_at_2002_340_000_km_4016082053
"Skoda Octavia 1.6 AT, 2018, 156 000 км, с пробегом, цена 1 140 000 руб. - Автомобили в Москве",1 140 000 ₽,https://www.avito.ru/moskva/avtomobili/skoda_octavia_1.6_at_2018_156_000_km_3806697347
"Kia K5 2.5 AT, 2021, 58 130 км, с пробегом, цена 2 450 000 руб. - Автомобили в Москве",2 450 000 ₽,https://www.avito.ru/moskva/avtomobili/kia_k5_2.5_at_2021_58_130_km_3807261302
"Audi Q7 4.2 AT, 2007, 229 000 км, с пробегом, цена 1 100 000 руб. - Автомобили в Москве",1 100 000 ₽,https://www.avito.ru/moskva/avtomobili/audi_q7_4.2_at_2007_229_000_km_4026618210
