,title,year,age,run,history,owners_pts,modification,volume,engine_type,transmission,gear,body,color,wheel,exchange,mark,accident,other_history,tech_history,sold,pts_type,price,horse_power
790,Hyundai Creta 2.0 AT,2018,I,153000,27.0,1,2.0 4WD AT,2.0,Бензин,Автомат,Полный,Внедорожник,Серый,Левый,Возможен,ниже,0,1,23,2,Другое,1295000,150
791,Volvo S60 2.4 AT,2003,I,190000,4.0,3,2.4 AT,2.4,Бензин,Автомат,Передний,Седан,Красный,Левый,Не интересует,нет оценки,1,3,5,2,Оригинал,550000,140
792,Kia Sorento 2.4 AT,2011,II,163000,9.0,3,2.4 4WD AT,2.4,Бензин,Автомат,Полный,Внедорожник,Бежевый,Левый,Возможен,ниже,1,3,5,3,Другое,1135000,175
793,Nissan Almera 1.6 AT,2015,G15,73400,7.0,2,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Чёрный,Левый,Не интересует,выше,1,2,3,1,Оригинал,910000,102
794,Hyundai Solaris 1.6 AT,2017,II,103653,7.0,3,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Белый,Левый,другое,ниже,0,3,5,1,Оригинал,790000,123
795,Nissan Pulsar 1.5 AT,1998,N15,286000,3.0,4+,1.5 AT,1.5,Бензин,Автомат,Передний,Седан,Серый,Правый,Возможен,выше,1,4,5,2,Оригинал,238000,105
796,Hyundai Creta 1.6 AT,2020,I,52439,3.0,1,1.6 AT,1.6,Бензин,Автомат,Передний,Внедорожник,Белый,Левый,Не интересует,ниже,1,1,2,2,Оригинал,1360000,123
797,Honda Civic 1.8 MT,2006,VIII,270000,14.0,3,1.8 MT,1.8,Бензин,Механика,Передний,Седан,Чёрный,Левый,Не интересует,соответствует,0,3,5,2,Оригинал,550000,140
798,ГАЗ ГАЗель 3302 2.9 MT,2008,I рестайлинг,77777,10.0,2,2.9 MT,2.9,Бензин,Механика,Задний,Van,Белый,Левый,Не интересует,выше,0,2,5,4,Оригинал,750000,110
799,Subaru Outback 2.4 CVT,2021,BT,35000,3.0,1,2.4 4WD CVT,2.4,Бензин,Вариатор,Полный,Универсал,Чёрный,Левый,Не интересует,соответствует,1,1,5,1,Электронный,3750000,260
800,BMW 5 серия 2.0 AT,2012,F10/F11,235000,5.0,3,520i 2.0 AT,2.0,Бензин,Автомат,Задний,Седан,Серый,Левый,Не интересует,выше,0,3,5,1,Оригинал,1580000,184
